11:14:54.658 [main] INFO  HelloWorld - Hello, World!
11:14:54.662 [main] DEBUG HelloWorld - Debug
11:14:54.662 [main] WARN  HelloWorld - Warn
11:35:29.323 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.560 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.568 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
11:39:07.569 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 16:05:33,758 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:05:33,759 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -  olol linux
28 Mar 2019 16:05:33,759 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:07:57,864 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:07:57,870 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:07:57,871 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:07:57,872 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
28 Mar 2019 16:07:57,873 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:07:57,873 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -  olol linux
28 Mar 2019 16:07:57,874 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:09:54,555 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:09:54,562 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:09:54,564 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:09:54,565 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
28 Mar 2019 16:09:54,566 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:09:54,567 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -  olol linux
28 Mar 2019 16:09:54,568 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - /home/orus-kade/opencv/NewFolder/lib/libopencv_java345.so  ololol
28 Mar 2019 16:09:54,569 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -  olol 1
28 Mar 2019 16:51:27,810 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:51:27,847 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:51:27,848 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:51:27,849 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
28 Mar 2019 16:51:27,849 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:53:35,973 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
